scene,orig,fam,input_norm,feat_dist,null_feat_dist,oracle,pred,margin,model_miss
3,0,random,0.32,0.8981,1.5106,1,0,0.0459,True
4,1,random,0.32,6.1691,0.3901,0,0,0.081,False
6,1,random,0.32,0.3818,0.2667,0,0,0.0345,False
8,1,random,0.2,0.4615,0.2415,0,1,0.1548,True
9,1,random,0.32,3.3172,0.4873,0,0,0.0641,False
10,1,random,0.32,0.475,4.0151,0,0,0.094,False
11,1,single,0.1,0.1192,0.162,0,1,0.0497,True
14,1,single,0.16,2.1207,0.2778,0,1,0.0513,True
15,0,random,0.06,0.1281,0.2123,1,1,0.0427,False
16,0,random,0.2,1.657,0.1838,1,1,0.0975,False
18,1,random,0.32,6.7772,0.2982,0,1,0.0586,True
21,1,random,0.32,5.7879,0.5515,0,1,0.0699,True
22,1,pair,0.1,0.3011,0.156,0,0,0.0387,False
26,0,random,0.32,2.1367,0.4946,1,1,0.1499,False
28,1,random,0.32,0.3939,0.5014,0,1,0.0443,True
29,1,random,0.32,0.404,0.9401,0,0,0.1491,False
34,0,single,0.16,1.9841,0.1505,1,1,0.044,False
35,0,random,0.32,4.0979,0.5052,1,1,0.042,False
38,1,random,0.32,8.6786,nan,0,0,0.0446,False
40,1,random,0.32,1.2028,0.3835,0,1,0.0437,True
41,0,random,0.2,1.297,0.6586,1,1,0.0619,False
42,1,random,0.32,7.0728,0.357,0,1,0.0346,True
44,0,random,0.32,10.9627,0.4007,1,1,0.1683,False
46,1,random,0.2,0.7024,0.2842,0,0,0.0402,False
49,0,random,0.12,0.4451,0.2007,1,1,0.0409,False
50,1,random,0.12,0.5274,0.2277,0,1,0.0417,True
54,0,random,0.32,11.0447,0.8445,1,0,0.0377,True
55,1,random,0.2,0.34,0.3132,0,1,0.0549,True
59,0,pair,0.16,0.3173,0.1599,1,1,0.039,False
62,1,single,0.16,2.5111,0.1645,0,0,0.0543,False
63,1,pair,0.1,0.3011,0.2317,0,1,0.0326,True
64,0,single,0.16,1.7559,0.1468,1,1,0.0395,False
65,1,random,0.32,0.4695,0.3378,0,1,0.0485,True
66,1,single,0.1,0.4793,0.1249,0,1,0.0311,True
72,1,random,0.32,4.2198,0.5309,0,0,0.0815,False
74,1,random,0.2,0.475,0.2097,0,0,0.0473,False
76,1,random,0.32,4.9284,0.7449,0,1,0.054,True
77,1,random,0.32,0.5238,0.4013,0,1,0.0425,True
80,1,random,0.32,9.994,0.2817,0,1,0.0454,True
82,1,single,0.16,3.0909,0.1964,0,1,0.0497,True
83,1,random,0.32,1.5438,0.5781,0,0,0.0676,False
84,1,random,0.2,0.3546,0.415,0,1,0.089,True
89,1,random,0.06,0.1174,0.0938,0,1,0.0388,True
95,1,random,0.32,11.9065,0.2893,0,0,0.1025,False
