bank,bank_sha256,sample_id,qid,original_parent_id,reconstructed_parent_hash,matched_16N_parent,canonical_parent_hash,nearest_16N_linf
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:0,0,173,38c3372edd8fe8db13aed32c9a3964515c5557a10eb2b87ec3c5019de7a9fed8,,,0.13363859350769314
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:1,1,433,dc36faaeb71e4b2ae9d7308e4a957a850037134974cfbd78e95e0ae69ca9feb6,,,0.2048967278799957
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:2,2,433,5afebafbee87a8303bc49d0f9ec314577b89a84337deb34cccdc7b125054cefe,,,0.2048967278799957
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:3,3,433,5afebafbee87a8303bc49d0f9ec314577b89a84337deb34cccdc7b125054cefe,,,0.2048967278799957
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:4,4,105,77239f48feac851cb51530a6915a0c07fa7491a0ee1697ea94d5ed49eea34dbd,,,0.24619399696183086
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:5,5,161,0c35a1ae0f1777f49504eed166a8dbbbd1dab49d51a9dd90cf13a3b149d83114,,,0.2962099122217243
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:6,6,336,6141b652688505ede770f2190dd599acf338869c1e5f0cf3c0f905b6a80a8ea6,,,0.2968915764298874
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:7,7,136,2eecfefe496b6e81efd66a22bdcbd161fb6be2a49d5ec8e88963658119240f41,,,0.2787047615201571
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:8,8,136,bd279aebcf71e4458ec269d61f84bba3dbabd04b88ba9fd469ead21ba9c120eb,,,0.2787047615201571
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:9,9,136,f0b54298457a86c22c2a9444b93d95a60f80c11128e7f9cffd2209de32140a8d,,,0.2787047615201571
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:10,10,136,bd279aebcf71e4458ec269d61f84bba3dbabd04b88ba9fd469ead21ba9c120eb,,,0.2787047615201571
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:11,11,246,2e47c0b08d8323b72c1874a28892630da290c431327579507e20c848e94ef87d,,,0.19815146996171284
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:12,12,246,e4573ecbc3a1ec9862677d1d5f1ff0d574072121f7e812a4c10f43d9ade23e1f,,,0.19815145506055165
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:13,13,246,93b0a8b641c564a9a1597f5c6a203d966bdef71eee5d7e52af7bd05fd5859913,,,0.19815146996171284
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:14,14,246,e4573ecbc3a1ec9862677d1d5f1ff0d574072121f7e812a4c10f43d9ade23e1f,,,0.19815145506055165
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:15,15,246,93b0a8b641c564a9a1597f5c6a203d966bdef71eee5d7e52af7bd05fd5859913,,,0.19815146996171284
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:16,16,246,93b0a8b641c564a9a1597f5c6a203d966bdef71eee5d7e52af7bd05fd5859913,,,0.19815146996171284
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:17,17,331,1e070d06680b0e53376007ce7d5ce075c463a938c52a95c8acbde0231b43fbc8,,,0.3186755207258628
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:18,18,331,e8ecd5bab689f84689e120415b00cdfffbd1d084ff6552028bc851bd46d95922,,,0.3186755244511531
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:19,19,331,7334f03c38f1b307d5ebd828ee71bec55c67acf5775fc5f2b2c80843f5acdf63,,,0.3186755207258628
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:20,20,331,e8ecd5bab689f84689e120415b00cdfffbd1d084ff6552028bc851bd46d95922,,,0.3186755244511531
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:21,21,331,7334f03c38f1b307d5ebd828ee71bec55c67acf5775fc5f2b2c80843f5acdf63,,,0.3186755207258628
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:22,22,331,7334f03c38f1b307d5ebd828ee71bec55c67acf5775fc5f2b2c80843f5acdf63,,,0.3186755207258628
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:23,23,81,c24b2c6a3caac4c849ebbcedd873c263fe88b6e43884cdf36360bbbe099bd503,,,0.2793374362918952
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:24,24,81,143315ed50f0e3a479fe87df6b9d6e13a74d557fbc9eb7f9004babc1e078d7d0,,,0.27933742884131463
dev512,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac,2178613957f459f82b3418cfda92ce24f61b4fa85dbff4c243d11b77adf961ac:25,25,81,143315ed50f0e3a479fe87df6b9d6e13a74d557fbc9eb7f9004babc1e078d7d0,,,0.27933742884131463
