scene,orig,fam,input_norm,feat_dist,null_feat_dist,oracle,pred,margin,model_miss
3,0,single,0.06,0.1653,0.1653,1,1,0.0357,False
5,1,random,0.32,2.7012,nan,0,0,0.0433,False
8,1,pair,0.1,0.174,0.569,0,0,0.0448,False
10,1,single,0.16,2.0442,0.267,0,1,0.035,True
11,0,single,0.16,4.6041,0.1493,1,0,0.0477,True
12,0,random,0.32,0.8853,0.2799,1,1,0.0927,False
14,1,random,0.32,1.4637,0.659,0,0,0.0806,False
17,1,random,0.32,0.3995,0.2015,0,0,0.0302,False
19,1,random,0.2,0.8669,0.1139,0,1,0.0394,True
21,1,random,0.32,5.7022,0.2992,0,0,0.0429,False
22,1,single,0.1,0.1908,0.0999,0,1,0.0382,True
23,1,random,0.12,0.3909,0.1689,0,1,0.0302,True
24,1,pair,0.16,0.3693,0.1632,0,1,0.0305,True
27,0,random,0.2,0.3049,0.2288,1,1,0.0867,False
31,1,random,0.2,0.6389,0.2184,0,1,0.0484,True
32,1,random,0.32,2.3339,0.1935,0,1,0.0465,True
33,1,single,0.1,1.2479,0.2606,0,0,0.051,False
34,0,single,0.16,2.0001,0.2081,1,1,0.033,False
35,1,single,0.16,2.6373,0.1247,0,0,0.0308,False
37,1,random,0.2,3.1544,0.1633,0,1,0.0367,True
38,0,pair,0.16,0.1471,0.1589,1,1,0.0478,False
39,1,random,0.2,0.3418,0.268,0,1,0.074,True
40,0,random,0.2,2.1589,0.1755,1,1,0.0497,False
42,0,single,0.16,2.4358,0.3388,1,0,0.0447,True
44,1,random,0.32,3.0609,0.4938,0,1,0.0316,True
46,1,random,0.12,0.3409,0.2114,0,1,0.044,True
48,0,random,0.32,4.5802,0.1729,1,0,0.0573,True
49,1,random,0.32,4.086,0.5455,0,1,0.0908,True
51,0,random,0.2,1.0551,0.1538,1,0,0.0909,True
52,1,random,0.32,0.509,0.2288,0,1,0.0579,True
53,0,pair,0.1,0.3956,0.1502,1,0,0.0365,True
55,1,random,0.32,0.3472,0.3572,0,0,0.0982,False
57,1,random,0.12,0.3083,0.1243,0,1,0.0317,True
59,1,single,0.16,0.6507,0.144,0,1,0.077,True
62,1,random,0.32,1.4432,0.1928,0,1,0.0705,True
63,1,random,0.2,1.3112,0.1195,0,1,0.0538,True
65,1,pair,0.16,0.2208,0.2695,0,0,0.0517,False
66,1,single,0.16,0.6277,0.115,0,0,0.0528,False
67,1,random,0.2,0.2191,0.1893,0,1,0.1163,True
68,1,random,0.2,0.5085,0.2106,0,1,0.0786,True
70,1,random,0.32,2.453,0.2188,0,1,0.079,True
71,0,random,0.32,4.2934,0.2865,1,1,0.0357,False
74,0,random,0.32,0.9952,1.0156,1,1,0.0543,False
77,0,random,0.32,0.8553,0.2406,1,1,0.0686,False
81,0,random,0.32,7.806,0.2261,1,1,0.0553,False
82,1,single,0.16,0.3092,0.1115,0,1,0.035,True
83,1,random,0.32,0.8604,0.4327,0,1,0.0555,True
90,1,single,0.1,0.2209,0.3076,0,0,0.0329,False
91,1,random,0.32,0.3853,0.3242,0,1,0.0932,True
94,1,random,0.2,0.3262,0.164,0,1,0.0912,True
95,0,single,0.16,1.967,0.1733,1,0,0.03,True
98,1,random,0.32,3.9275,0.4302,0,0,0.0561,False
99,1,random,0.32,0.4861,0.8498,0,1,0.0367,True
100,1,random,0.2,1.6103,0.1664,0,1,0.0301,True
108,1,random,0.32,1.1721,0.5802,0,1,0.061,True
109,1,single,0.06,0.0743,0.0743,0,1,0.0342,True
110,1,random,0.32,1.9911,3.1547,0,0,0.0406,False
111,1,pair,0.1,0.3214,0.1791,0,1,0.0345,True
112,1,pair,0.16,0.1636,0.1334,0,1,0.0309,True
114,1,random,0.32,1.7221,0.2363,0,1,0.0842,True
118,1,single,0.16,1.1529,0.1512,0,1,0.0381,True
120,0,random,0.32,5.4161,nan,1,1,0.0597,False
121,1,random,0.2,7.657,0.1979,0,0,0.0519,False
124,0,random,0.12,0.1522,0.1165,1,0,0.0516,True
125,1,random,0.32,4.8026,0.314,0,1,0.0965,True
129,1,random,0.2,0.3554,0.1781,0,0,0.0311,False
131,1,random,0.2,2.0517,0.1576,0,1,0.0424,True
132,0,random,0.32,7.8557,0.3288,1,1,0.0561,False
134,1,random,0.32,4.036,0.2553,0,0,0.0417,False
135,1,random,0.32,5.1305,0.2929,0,0,0.0716,False
137,0,pair,0.16,0.3783,0.1378,1,0,0.0636,True
138,0,random,0.32,5.4236,0.1427,1,1,0.0639,False
140,1,random,0.32,0.5684,0.1861,0,1,0.0522,True
143,1,random,0.2,0.4401,0.4613,0,0,0.1096,False
145,0,single,0.1,0.5413,0.315,1,1,0.0375,False
146,0,random,0.32,3.7768,0.3094,1,1,0.1244,False
148,1,random,0.32,4.1227,0.9248,0,0,0.1345,False
149,1,single,0.16,0.5809,0.499,0,1,0.0577,True
150,1,pair,0.1,0.1147,0.0847,0,1,0.0597,True
152,1,single,0.16,0.3304,0.1739,0,1,0.044,True
155,1,random,0.32,1.3397,0.5221,0,1,0.0705,True
156,0,single,0.16,0.3578,0.3578,1,0,0.0343,True
158,1,random,0.2,0.1415,1.1288,0,0,0.0362,False
162,0,single,0.16,2.8426,0.2265,1,0,0.0433,True
168,1,pair,0.16,0.4692,0.2266,0,1,0.0374,True
172,0,random,0.2,4.3409,0.2716,1,1,0.0433,False
175,1,random,0.32,2.3833,1.2186,0,0,0.0302,False
178,0,random,0.2,0.935,0.6181,1,0,0.0314,True
179,0,random,0.32,0.2705,0.201,1,0,0.0503,True
180,0,random,0.32,2.7402,0.506,1,1,0.0725,False
181,1,single,0.1,0.7665,0.0981,0,1,0.0355,True
182,1,random,0.2,4.4841,0.188,0,0,0.0804,False
184,1,random,0.32,0.3501,4.3192,0,1,0.0619,True
185,1,random,0.32,0.4903,0.2049,0,0,0.054,False
186,1,single,0.16,1.6686,0.2904,0,1,0.0677,True
189,0,random,0.32,7.4422,0.2162,1,0,0.0426,True
191,1,single,0.06,0.2823,0.6523,0,0,0.0411,False
192,1,random,0.2,0.3137,0.211,0,1,0.0591,True
193,1,random,0.2,1.4691,0.4492,0,1,0.0484,True
195,1,random,0.2,1.7596,0.4375,0,0,0.0739,False
196,1,random,0.32,0.5346,0.2336,0,1,0.0657,True
198,1,random,0.2,7.1416,0.1964,0,0,0.0693,False
200,0,random,0.32,3.7707,0.3289,1,0,0.0343,True
204,0,random,0.32,5.4282,0.3319,1,0,0.0563,True
205,1,random,0.32,3.0052,0.1654,0,1,0.0863,True
206,1,random,0.32,8.4568,1.0294,0,1,0.1536,True
208,0,random,0.32,0.1664,0.3676,1,1,0.1178,False
210,1,random,0.2,0.9025,0.4112,0,0,0.0328,False
213,0,random,0.32,2.6545,0.3922,1,1,0.0763,False
217,1,single,0.16,0.7783,0.2426,0,1,0.0311,True
218,1,random,0.2,0.4179,0.524,0,1,0.0576,True
221,1,random,0.32,5.4826,0.3899,0,1,0.0594,True
222,1,random,0.32,1.1419,0.1881,0,1,0.031,True
223,1,single,0.16,0.1996,0.1564,0,1,0.0768,True
224,0,random,0.32,3.82,0.125,1,1,0.0946,False
226,1,single,0.1,0.32,0.0843,0,0,0.0443,False
230,1,random,0.2,0.799,0.3209,0,1,0.0372,True
234,0,random,0.32,2.8122,nan,1,1,0.1898,False
235,1,single,0.06,0.3465,0.2363,0,1,0.0329,True
238,0,random,0.32,4.8301,0.7092,1,0,0.0767,True
239,0,single,0.16,0.4271,0.1839,1,0,0.0496,True
240,1,single,0.16,1.3828,0.1897,0,0,0.0442,False
245,1,random,0.2,2.0195,0.1879,0,1,0.0332,True
246,0,random,0.32,1.4886,0.2266,1,0,0.084,True
247,1,random,0.32,0.1518,0.2728,0,1,0.129,True
248,1,random,0.32,0.4231,0.2459,0,1,0.0644,True
249,1,single,0.16,0.2701,0.3058,0,1,0.0469,True
252,1,pair,0.16,1.5367,0.1847,0,1,0.0586,True
253,1,single,0.1,0.1363,0.2715,0,1,0.0359,True
259,1,random,0.32,5.685,0.162,0,1,0.0543,True
